Film Name,Year,Duration,Ratings,Number of Rators,Summary,Votes
1. Animal,2023,3h 24m,7.3, (27K),"A son's love for his father. Often away due to work the father is unable to comprehend the intensity of his son's love. Ironically, this fervent love and admiration for his father and family creates conflict between the father and son.","26,740"
2. Tiger 3,2023,2h 34m,7.4, (42K),Tiger and Zoya are back - to save the country and their family. This time it's personal.,"42,378"
3. Jawan,2023,2h 49mNot Rated,7.1, (78K),A high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society.,"78,258"
4. Starfish,2023,2h 1m,9.3, (15K),Beautiful journey through the depths of the underwater world as we witness a gripping tale of grief and healing unfold before our eyes.,"15,422"
5. 12th Fail,2023,2h 27m,9.2, (9K),The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,"9,031"
6. Sam Bahadur,2023,2h 30m,8.4, (3.6K),Revolves around the high and low points of Sam Manekshaw who became the first Indian Army officer to be promoted to the rank of Field Marshal.,"3,555"
7. Farrey,2023,2h 10m,9.0, (5.7K),"After gaining admission into an elite school on scholarship, an orphan genius Niyati gets entangled in a cheating racket when some of her rich friends lure her into helping them cheat in exams through elaborate methods.","5,693"
8. Mission Raniganj,2023,2h 14m,7.5, (14K),Mining engineer Jaswant Singh Gill leads a challenging rescue mission to save 65 miners trapped in a flooded coal mine.,"13,645"
9. The Archies,2023,2h 21m,2.2, (422),"Set in 1960s India, Archie and the gang navigate romance, friendship and the future of Riverdale as developers threaten to destroy a beloved park.",422
10. Kannur Squad,2023,2h 41m,7.8, (5.5K),"The gripping saga of a police officer and his team, their challenging journey to nab a criminal gang across the country. Further, it shows how he leads his team towards triumph, amidst professional uncertainties in this gripping drama.","5,474"
11. Sukhee,2023,2h 19m,6.8, (7.4K),"Much to the dismay of her husband, a middle-class housewife, known for her rebellious attitude in high school, decides to attend her class reunion.","7,425"
12. Ghoomer,2023,2h 15m,8.0, (10K),"Anina, a young batting prodigy, loses her right hand in an accident. An unsympathetic, failed cricketer gives her new hope, trains her with unconventional techniques, to turn her fate around. Ghoomer is a new style of bowling they invent.","10,483"
13. RRR,2022,3h 7mNot Rated,7.8, (160K),A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.,"159,714"
14. 3 Idiots,2009,2h 50mPG-13,8.4, (423K),"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","422,776"
15. Fukrey 3,2023,2h 27mNot Rated,6.6, (23K),The friends facing disastrously funny situations together and having each other's backs through the trenches to make it out of a new mess this time.,"22,635"
16. Jailer,2023,2h 48m,7.1, (29K),"A retired jailer goes on a manhunt to find his son's killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully?","29,457"
17. The Great Indian Family,2023,1h 52m,6.0, (6.1K),"Ved Vyas Tripathi, aka Bhajan Kumar, is a devout Hindu man who faces an identity crisis and a personal dilemma when he discovers he is actually a Muslim by birth.","6,076"
18. The Vaccine War,2023,2h 41m,7.7, (22K),"Based on India's battle against Covid-19, and the efforts the medical department took to overcome the global crisis.","22,457"
19. Pippa,2023,2h 19m,6.2, (1.7K),A young Indian Army captain from the 45 Cavalry regiment commanding the amphibious PT-76 war tank comes of age as he and his two siblings fight to liberate Bangladesh in the Indo-Pakistani war of 1971.,"1,716"
20. OMG 2,2023,2h 36m,7.7, (35K),An unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play.,"34,744"
21. Pathaan,2023,2h 26mNot Rated,5.9, (150K),"An Indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country.","149,851"
22. Dunki,2023,2h 40m,N/a,,Four friends from a village in Punjab share a common dream: to go to England. Their problem is that they have neither the visa nor the ticket. A soldier promises to take them to the land of their dreams.,N/a
